,hlasy abs,hlasy procenta,mandat,navrhujici strana,politicka prislusnost,poradi ve strane,poradi zvoleni,prijmeni jmeno,rok,strana cislo,strana nazev,tituly,vek
962,1 975,233.0,0,USZ,BEZPP,9,7,Jungwirth Roman,2010,1,Unie pro sport a zdraví,,44
963,2 766,312.0,1,VV,VV,3,3,Kabátek Bohuslav,2010,6,Věci veřejné,Ing. ,47
964,5 799,268.0,0,ODS,ODS,16,8,Kadlas Zdeněk,2010,3,Občanská demokratická strana,RNDr. ,49
965,970,222.0,0,SOS,SOS,19,,Karásek Petr,2010,9,SOS - Liberecký zastupitel,,36
966,2 105,250.0,0,KSČM,BEZPP,26,23,Karásková Lucie,2010,13,Komunistická str.Čech a Moravy,,30
967,1 948,230.0,0,USZ,BEZPP,15,13,Kareisová Lucie,2010,1,Unie pro sport a zdraví,Ing. ,40
968,231,247.0,0,SPOZ,SPOZ,27,,Karel Lukáš,2010,11,Strana Práv Občanů ZEMANOVCI,,23
969,239,256.0,0,SPOZ,SPOZ,11,,Karel Pavel,2010,11,Strana Práv Občanů ZEMANOVCI,,55
970,958,220.0,0,SOS,SOS,16,,Kašpar Dušan,2010,9,SOS - Liberecký zastupitel,,56
971,515,216.0,0,Suveren.,BEZPP,32,,Kašpar František,2010,4,Suverenita-blok J.Bobošíkové,,60
972,635,267.0,0,Suveren.,BEZPP,6,,Kašpar Roman,2010,4,Suverenita-blok J.Bobošíkové,,34
973,5 758,266.0,0,ODS,ODS,19,11,Kašparová Hana,2010,3,Občanská demokratická strana,MgA. ,31
974,556,234.0,0,Suveren.,SDŽ,20,,Kašparová Helena,2010,4,Suverenita-blok J.Bobošíkové,,57
975,5 459,266.0,1,ČSSD,ČSSD,4,4,Kašparová Jana,2010,8,Česká str.sociálně demokrat.,,60
976,5 384,249.0,0,ODS,ODS,30,22,Kašparová Jaroslava,2010,3,Občanská demokratická strana,,55
977,308,330.0,0,SPOZ,BEZPP,4,,Kašuba Ivan,2010,11,Strana Práv Občanů ZEMANOVCI,,54
978,5 834,270.0,1,ODS,ODS,1,1,Kittner Jiří,2010,3,Občanská demokratická strana,Ing. ,47
979,4 999,244.0,0,ČSSD,ČSSD,32,25,Klare Jiří,2010,8,Česká str.sociálně demokrat.,,41
980,2 022,238.0,0,USZ,BEZPP,21,18,Kleibl Libor,2010,1,Unie pro sport a zdraví,Ing. ,52
981,2 364,280.0,0,KSČM,KSČM,4,1,Klikarová Kateřina,2010,13,Komunistická str.Čech a Moravy,,26
982,261,279.0,0,SPOZ,SPOZ,8,,Kliková Monika,2010,11,Strana Práv Občanů ZEMANOVCI,,34
983,1 012,213.0,0,DRS,BEZPP,33,,Klimková Jana,2010,7,Demokratická regionální strana,Ing. ,35
984,1 207,254.0,0,DRS,BEZPP,19,,Klingerová Marie,2010,7,Demokratická regionální strana,,42
985,571,240.0,0,Suveren.,BEZPP,22,,Knap Daniel,2010,4,Suverenita-blok J.Bobošíkové,,19
986,665,279.0,0,Suveren.,BEZPP,9,,Knapová Jaroslava,2010,4,Suverenita-blok J.Bobošíkové,,41
987,216,231.0,0,SPOZ,BEZPP,33,,Knéblová Simona,2010,11,Strana Práv Občanů ZEMANOVCI,,36
988,562,236.0,0,Suveren.,BEZPP,23,,Knespl Aleš,2010,4,Suverenita-blok J.Bobošíkové,,33
989,1 537,181.0,0,USZ,BEZPP,38,35,Kocum Miroslav,2010,1,Unie pro sport a zdraví,,65
990,5 279,623.0,1,USZ,BEZPP,1,1,Kocumová Zuzana,2010,1,Unie pro sport a zdraví,Bc. ,31
991,5 064,310.0,0,NK,BEZPP,5,1,Kočárková Eva,2010,12,Liberec občanům,Ing. ,67
992,2 043,242.0,0,KSČM,KSČM,29,26,Köhlerová Marie,2010,13,Komunistická str.Čech a Moravy,,79
993,1 777,209.0,0,USZ,BEZPP,20,17,Kohout Ladislav,2010,1,Unie pro sport a zdraví,,59
994,672,282.0,0,Suveren.,BEZPP,21,,Kohoutová Taťana,2010,4,Suverenita-blok J.Bobošíkové,Ing. ,53
995,2 113,238.0,0,VV,BEZPP,27,24,Kochan Lukáš,2010,6,Věci veřejné,,27
996,2 063,243.0,0,USZ,BEZPP,34,31,Kolafa Martin,2010,1,Unie pro sport a zdraví,MVDr. ,53
997,1 359,286.0,0,DRS,BEZPP,8,,Kolář Jiří,2010,7,Demokratická regionální strana,,41
998,5 227,242.0,0,ODS,ODS,34,26,Kolocová Eva,2010,3,Občanská demokratická strana,,24
999,2 020,464.0,0,NK,BEZPP,10,,Kolomá Ivanka,2010,9,SOS - Liberecký zastupitel,MUDr. ,63
1000,2 093,248.0,0,KSČM,BEZPP,30,27,Kolomazník Milan,2010,13,Komunistická str.Čech a Moravy,,55
1001,2 373,545.0,0,SOS,SOS,1,,Kolomazník Stanislav,2010,9,SOS - Liberecký zastupitel,,53
1002,938,215.0,0,SOS,BEZPP,28,,Königová Yveta,2010,9,SOS - Liberecký zastupitel,,47
1003,5 823,269.0,1,ODS,ODS,4,4,Konšelová Hana,2010,3,Občanská demokratická strana,,45
1004,9 925,395.0,1,SZ,SZ,1,1,Korytář Jan,2010,2,Změna pro Liberec,Mgr. ,38
1005,1 002,230.0,0,SOS,BEZPP,18,,Kořínek Ladislav,2010,9,SOS - Liberecký zastupitel,,52
1006,5 411,264.0,0,ČSSD,ČSSD,16,9,Kotlár Miroslav,2010,8,Česká str.sociálně demokrat.,Mgr. ,37
1007,3 490,213.0,0,NK,SZ,33,27,Koudelka Jan,2010,12,Liberec občanům,,34
1008,793,333.0,0,Suveren.,BEZPP,3,,Koudelka Ondřej,2010,4,Suverenita-blok J.Bobošíkové,,29
1009,522,219.0,0,Suveren.,BEZPP,34,,Koutecká Václava,2010,4,Suverenita-blok J.Bobošíkové,,37
1010,5 567,257.0,0,ODS,ODS,18,10,Koutenský Otakar,2010,3,Občanská demokratická strana,Bc. ,22
1011,1 101,232.0,0,DRS,DRS,15,,Kovačičová Alena,2010,7,Demokratická regionální strana,,56
1012,3 791,232.0,0,NK,BEZPP,32,26,Kovář Zdeněk,2010,12,Liberec občanům,prof. Ing. CSc.,80
1013,4 496,275.0,0,NK,BEZPP,13,7,Kracík Vladimír,2010,12,Liberec občanům,MUDr. ,48
1014,2 029,239.0,0,USZ,USZ,19,16,Kračmar Zdeněk,2010,1,Unie pro sport a zdraví,Ing. ,50
1015,258,276.0,0,SPOZ,SPOZ,9,,Krákora Michal,2010,11,Strana Práv Občanů ZEMANOVCI,,30
1016,2 005,236.0,0,USZ,BEZPP,22,19,Krebs Milan,2010,1,Unie pro sport a zdraví,RNDr. CSc.,76
1017,2 251,265.0,0,USZ,USZ,27,24,Krobot Petr,2010,1,Unie pro sport a zdraví,MVDr. ,66
1018,5 154,251.0,0,ČSSD,ČSSD,30,23,Kroll Martin,2010,8,Česká str.sociálně demokrat.,Mgr. ,45
1019,5 641,261.0,0,ODS,ODS,17,9,Křeček Štěpán,2010,3,Občanská demokratická strana,,21
1020,6 805,270.0,0,NK,BEZPP,17,7,Křížek Jiří,2010,2,Změna pro Liberec,Mgr. ,31
1021,895,205.0,0,SOS,BEZPP,31,,Kubát Jiří,2010,9,SOS - Liberecký zastupitel,,57
1022,5 620,260.0,0,ODS,ODS,24,16,Kubelka Karel,2010,3,Občanská demokratická strana,,35
1023,2 322,274.0,0,USZ,BEZPP,6,5,Kubeš Jan,2010,1,Unie pro sport a zdraví,Ing. Mgr.,30
1024,3 904,239.0,0,KDU-ČSL,KDU-ČSL,24,18,Kubín Stanislav,2010,12,Liberec občanům,,67
1025,1 937,219.0,0,VV,BEZPP,38,35,Kubr Zdeněk,2010,6,Věci veřejné,MUDr. MBA ,54
1026,4 996,243.0,0,ČSSD,ČSSD,31,24,Kučera Josef,2010,8,Česká str.sociálně demokrat.,,63
1027,761,320.0,0,Suveren.,BEZPP,4,,Kudrnová Jana,2010,4,Suverenita-blok J.Bobošíkové,,49
1028,528,222.0,0,Suveren.,BEZPP,35,,Kühnel Jakub,2010,4,Suverenita-blok J.Bobošíkové,,23
